代碼,學校名稱,公/私立,縣市名稱,地址,電話,網址
011601,私立育才國小,私立,[01]新北市,[234]新北市永和區福和路125巷20號,(02)29214630,http://www.ytes.ntpc.edu.tw
011602,私立聖心國小,私立,[01]新北市,[249]新北市八里區龍米路一段261號,(02)26182330,http://lshes.com/school/
011603,私立及人國小,私立,[01]新北市,[234]新北市永和區文化路172號,(02)29212145,http://www.cjps.ntpc.edu.tw
011604,私立竹林國小,私立,[01]新北市,[234]新北市永和區竹林路34號,(02)29243919,http://www.clse.ntpc.edu.tw
011606,私立信賢種籽親子實小,私立,[01]新北市,[233]新北市烏來區信賢里娃娃谷41號,(02)26616648#266,http://www.seedling.tw
013601,市立北大國小,公立,[01]新北市,[237]新北市三峽區國光街100號,(02)86716836,http://www.bdes.ntpc.edu.tw/
014601,市立板橋國小,公立,[01]新北市,[220]新北市板橋區黃石里文化路一段23號,(02)29686834,http://www.pcps.ntpc.edu.tw
014602,市立國光國小,公立,[01]新北市,[220]新北市板橋區中正路325巷30號,(02)29680611,http://www.kkes.ntpc.edu.tw
014603,市立新埔國小,公立,[01]新北市,[220]新北市板橋區新翠里陽明街206號,(02)22571830,http://www.spes.ntpc.edu.tw
014604,市立埔墘國小,公立,[01]新北市,[220]新北市板橋區永豐街42之8號,(02)29616690,http://www.pces.ntpc.edu.tw
014605,市立莒光國小,公立,[01]新北市,[220]新北市板橋區華翠里莒光路163號,(02)22517272,http://www.jges.ntpc.edu.tw
014606,市立後埔國小,公立,[01]新北市,[220]新北市板橋區重慶路157號,(02)29614142,http://www.hpes.ntpc.edu.tw
014607,市立海山國小,公立,[01]新北市,[220]新北市板橋區漢生東路280號,(02)29545725,http://www.hsps.ntpc.edu.tw
014608,市立江翠國小,公立,[01]新北市,[220]新北市板橋區松翠里文化路二段413號,(02)22526880,http://www.ctes.ntpc.edu.tw
014610,市立文聖國小,公立,[01]新北市,[220]新北市板橋區文聖街86號,(02)22530782,http://www.wses.ntpc.edu.tw
014611,市立沙崙國小,公立,[01]新北市,[220]新北市板橋區篤行路二段132號,(02)26812764,http://www.sles.ntpc.edu.tw
014612,市立文德國小,公立,[01]新北市,[220]新北市板橋區新翠里英士路179號,(02)22577193,http://www.wdps.ntpc.edu.tw
014613,市立樹林國小,公立,[01]新北市,[238]新北市樹林區樹西里育英街176號,(02)26812014,http://www.slps.ntpc.edu.tw
